GEO_ID,NAME,S1401_C01_001E,S1401_C01_008E
12001,"Alachua County, Florida",90406,37256
12005,"Bay County, Florida",34083,4719
12009,"Brevard County, Florida",117313,22895
12011,"Broward County, Florida",450884,91573
12015,"Charlotte County, Florida",25195,3910
12017,"Citrus County, Florida",22773,3524
12019,"Clay County, Florida",56242,9640
12021,"Collier County, Florida",67549,13119
12023,"Columbia County, Florida",12904,1327
12031,"Duval County, Florida",229617,47046
12033,"Escambia County, Florida",68973,15135
12035,"Flagler County, Florida",22570,4150
12053,"Hernando County, Florida",37734,6613
12055,"Highlands County, Florida",17112,2452
12057,"Hillsborough County, Florida",361792,81829
12061,"Indian River County, Florida",28976,5987
12069,"Lake County, Florida",78271,11177
12071,"Lee County, Florida",142945,28702
12073,"Leon County, Florida",94014,38653
12081,"Manatee County, Florida",78402,15429
12083,"Marion County, Florida",67301,10477
12085,"Martin County, Florida",29894,6718
12086,"Miami-Dade County, Florida",625934,147444
12087,"Monroe County, Florida",13595,2483
12089,"Nassau County, Florida",18055,3321
12091,"Okaloosa County, Florida",49328,10858
12095,"Orange County, Florida",356690,91708
12097,"Osceola County, Florida",102824,20375
12099,"Palm Beach County, Florida",309753,63517
12101,"Pasco County, Florida",124516,22427
12103,"Pinellas County, Florida",179592,38725
12105,"Polk County, Florida",162751,24356
12107,"Putnam County, Florida",13812,1092
12109,"St. Johns County, Florida",69575,11262
12111,"St. Lucie County, Florida",72500,13195
12113,"Santa Rosa County, Florida",44747,8474
12115,"Sarasota County, Florida",65117,11161
12117,"Seminole County, Florida",112004,27371
12119,"Sumter County, Florida",8683,1033
12127,"Volusia County, Florida",112560,26829
12131,"Walton County, Florida",15133,1159